Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
351;Junior Messias;br BRA;MF;Genoa;35-010;1991;20;5;685;7.6;3;1;4;2;1;1;1;0;0.39;0.13;0.53;0.26;0.39;Matches
352;Daniel Mikołajewski;pl POL;FW;Parma;20-119;2006;2;0;25;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
353;Arkadiusz Milik;pl POL;FW;Juventus;32-084;1994;2;0;36;0.4;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
354;Vanja Milinković-Savić;rs SRB;GK;Napoli;29-092;1997;27;27;2,430;27.0;0;1;1;0;0;0;0;0;0.00;0.04;0.04;0.00;0.04;Matches
355;Lennon Miller;sct SCO;MF;Udinese;19-271;2006;23;8;906;10.1;0;2;2;0;0;0;3;0;0.00;0.20;0.20;0.00;0.20;Matches
356;Yerry Mina;co COL;DF;Cagliari;31-242;1994;25;25;2,060;22.9;2;0;2;2;0;0;5;1;0.09;0.00;0.09;0.09;0.09;Matches
357;Juan Miranda;es ESP;DF;Bologna;26-124;2000;31;28;2,483;27.6;1;3;4;1;0;0;6;0;0.04;0.11;0.14;0.04;0.14;Matches
358;Fabio Miretti;it ITA;MF;Juventus;22-293;2003;22;5;596;6.6;1;2;3;1;0;0;1;0;0.15;0.30;0.45;0.15;0.45;Matches
359;Henrikh Mkhitaryan;am ARM;MF;Inter;37-122;1989;29;16;1,523;16.9;4;1;5;4;0;0;4;0;0.24;0.06;0.30;0.24;0.30;Matches
360;Branimir Mlacic;hr CRO;DF;Udinese;19-072;2007;6;2;155;1.7;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
361;Rui Modesto;ao ANG;MF;Udinese;26-228;1999;3;0;119;1.3;0;1;1;0;0;0;0;0;0.00;0.76;0.76;0.00;0.76;Matches
362;Luka Modrić;hr CRO;MF;Milan;40-256;1985;33;32;2,782;30.9;2;3;5;2;0;0;4;0;0.06;0.10;0.16;0.06;0.16;Matches
